,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,Corpus_Callosm
0,76.134895,111.04071,81.74319,132.8688,109.516365,105.45043,80.42939,72.19997
1,84.866554,86.16026,81.01984,137.34367,102.085365,106.514015,86.926926,68.37291
2,102.107605,131.49377,88.86176,147.89732,105.605736,122.81756,91.77899,67.59173
3,62.857853,145.56538,88.51187,154.77264,96.04332,125.277794,86.64333,68.846634
4,71.163826,155.57576,95.1425,167.05652,108.42634,112.69166,74.69325,82.36888
5,88.10444,120.53639,98.80579,175.10999,122.92732,106.795555,84.61815,72.42396
6,61.33246,135.36475,105.31193,146.67442,113.34907,117.87738,72.87931,82.62092
7,67.140816,137.2523,110.3724,151.3661,114.4198,104.5057,83.89556,84.420364
8,70.91971,101.53693,110.56212,157.51825,109.037125,100.81561,79.41994,76.45353
9,108.77338,116.54987,102.361496,156.86485,113.85432,106.33149,84.08937,80.834526
10,116.62969,115.9869,104.68936,136.19885,88.0172,125.26159,88.6591,87.06573
11,115.03574,86.29822,118.87457,137.40182,87.1326,118.24224,79.778076,83.37919
12,87.51854,98.446655,93.0597,143.56291,113.93201,117.241394,63.256752,82.53317
13,97.1111,101.880684,91.93379,145.8074,110.006905,119.18107,80.0099,71.17447
14,105.49127,108.74055,90.50055,144.14545,98.6824,131.35403,70.52136,95.94482
15,115.69807,113.24503,105.370415,155.53964,98.471405,138.36261,85.98779,82.95866
16,121.49411,124.22731,123.05957,142.34363,120.800896,136.51045,,85.65791
17,80.159294,128.71751,86.0268,151.2876,117.426414,134.137,,95.279564
18,84.44719,87.35077,89.32111,160.48366,127.02877,133.51509,,
19,88.27811,113.920845,91.4113,167.09085,133.53316,117.51657,,
20,103.09347,132.21555,100.827225,155.35063,119.097664,111.216965,,
21,113.90718,131.18951,111.08846,153.04686,119.701126,119.46999,,
22,80.959404,127.750084,89.71295,159.78552,110.87374,126.71587,,
23,82.05177,82.735146,95.49167,158.4244,120.607765,110.06275,,
24,79.37215,109.62961,99.085976,152.10127,104.66366,106.35688,,
25,87.45778,129.52367,100.029366,153.35107,101.3389,116.119774,,
26,94.88564,129.68912,101.272095,154.96875,110.661964,133.4908,,
27,86.44717,125.61954,99.4395,154.66609,115.019684,123.8975,,
28,84.55232,107.964905,103.255516,149.66316,94.99738,118.51026,,
29,85.686516,121.272964,102.31772,142.59807,92.40891,121.9963,,
30,114.74627,126.399864,116.55657,137.00229,107.280136,127.69038,,
31,115.52386,110.45589,123.665535,140.87793,116.19938,130.71242,,
32,110.874146,97.5291,131.89622,121.65279,116.00925,121.71906,,
33,103.25541,95.20948,106.50061,129.8059,114.71201,134.43944,,
34,108.45022,106.08173,105.08551,122.67435,118.362305,140.28584,,
35,110.647835,106.61594,107.93277,129.05167,123.11174,138.84145,,
36,113.96304,80.01091,120.91612,131.66495,121.77238,146.03879,,
37,117.56459,100.9819,134.81436,134.18968,121.68896,142.46777,,
38,96.44779,116.33465,101.72271,136.89516,139.51628,121.20917,,
39,97.97977,115.10833,99.149796,142.29767,152.2323,123.213425,,
40,97.78292,116.589386,96.7849,146.00206,123.168816,137.28548,,
41,106.64183,85.35067,107.4677,135.62614,140.75377,130.9351,,
42,112.39927,105.61908,121.00689,123.953125,112.07865,115.70279,,
43,100.97974,121.044754,96.21234,131.47838,110.35102,120.36115,,
44,96.4775,122.319885,94.89188,158.8831,109.146965,134.50208,,
45,88.41673,125.734474,92.564156,156.65033,113.041504,143.91069,,
46,94.63427,111.93341,95.1693,141.21074,107.89106,125.139885,,
47,98.71045,118.54023,100.07265,125.37509,101.61334,120.53194,,
48,105.24506,122.01444,93.04782,147.24983,113.53746,133.4427,,
49,96.809105,113.605156,98.34987,141.64604,113.931145,143.27026,,
50,94.72612,89.25084,94.01015,101.32313,112.9705,135.4075,,
51,121.42761,98.57223,122.46807,101.66019,112.53535,125.57869,,
52,109.37289,108.69664,135.33458,104.80818,116.87021,138.15076,,
53,109.49155,96.286125,133.9049,111.6146,125.09432,154.64558,,
54,115.96552,103.88207,108.73006,116.12794,127.02493,155.51474,,
55,116.16037,112.73065,116.96838,116.21691,137.54048,149.5666,,
56,110.53292,103.32615,126.40104,106.41838,142.70807,155.19266,,
57,110.779,107.112495,131.39624,99.46253,141.07716,116.99701,,
58,118.59274,112.53576,134.75967,135.5785,132.28848,120.87947,,
59,102.52729,108.741135,108.563805,136.12509,140.22585,109.13378,,
60,104.432236,103.605644,111.47519,120.07417,160.58934,115.609344,,
61,104.47779,103.61689,112.02281,105.53043,171.32043,130.58867,,
62,106.7952,107.43817,118.4944,85.29414,136.96461,123.80911,,
63,109.43146,107.20643,127.04673,85.41896,154.91304,117.168846,,
64,102.00704,,105.365654,,107.46737,128.7039,,
65,97.748245,,101.926384,,115.78716,140.18398,,
66,92.850876,,97.62325,,116.13933,133.40022,,
67,95.810974,,100.946526,,115.18947,138.82887,,
68,97.77008,,106.54771,,112.62092,153.57204,,
69,105.79763,,95.54641,,124.12095,158.46678,,
70,96.66596,,96.92665,,132.8275,,,
71,92.635765,,95.30238,,130.16338,,,
72,132.6152,,114.63629,,131.94145,,,
73,124.96746,,130.5239,,144.1171,,,
74,121.226425,,131.2725,,153.94179,,,
75,115.70717,,108.82906,,150.98546,,,
76,119.51912,,115.09859,,162.76552,,,
77,115.51664,,118.576294,,171.1312,,,
78,98.476715,,98.15297,,,,,
79,101.76135,,95.779396,,,,,
80,102.682144,,98.526726,,,,,
