Subject,Run,maxSpace,meanSpace,sumSpace,maxAngle,meanAngle,sumAngle,maxFDpre,meanFDpre,stdFDpre,maxFDpost,meanFDpost,stdFDpost,SupraThresholdFD,TotalVolume,ScrubRatio
madc0732_scan1,run_01,0.1494,0.0282,16.0528,0.0638,0.0122,6.9245,0.3212,0.0588,0.0359,0.3212,0.0588,0.0359,0.0000,570.0000,0.0000
madc0768_scan1,run_01,0.1243,0.0304,17.3253,0.0480,0.0111,6.2913,0.2036,0.0579,0.0316,0.2036,0.0579,0.0316,0.0000,570.0000,0.0000
madc0775_scan1,run_01,0.4636,0.0558,31.7778,0.2154,0.0300,17.0543,0.8798,0.1228,0.1184,0.4938,0.1141,0.0989,10.0000,570.0000,0.0175
madc0833_scan1,run_01,0.1672,0.0339,19.2760,0.0527,0.0103,5.8576,0.3057,0.0625,0.0412,0.3057,0.0625,0.0412,0.0000,570.0000,0.0000
madc0960_scan1,run_01,0.3679,0.0448,25.4822,0.3243,0.0186,10.6031,0.6244,0.0855,0.0651,0.4821,0.0828,0.0537,3.0000,570.0000,0.0053
madc1053_scan1,run_01,0.4244,0.0740,42.1179,0.2654,0.0376,21.4137,0.9407,0.1594,0.1183,0.4939,0.1491,0.0970,13.0000,570.0000,0.0228
madc1066_scan1,run_01,0.3443,0.0915,52.0470,0.1739,0.0423,24.0500,0.6290,0.1953,0.1074,0.5000,0.1910,0.1007,7.0000,570.0000,0.0123
madc1143_scan1,run_01,0.3825,0.0426,24.2489,0.1463,0.0251,14.2650,0.5896,0.0945,0.0567,0.3762,0.0936,0.0528,1.0000,570.0000,0.0018
madc1174_scan1,run_01,0.2874,0.0696,39.6174,0.2986,0.0414,23.5595,0.8436,0.1576,0.0948,0.4816,0.1539,0.0831,4.0000,570.0000,0.0070
madc1179_scan1,run_01,0.3211,0.0378,21.5125,1.1487,0.0328,18.6545,1.3962,0.0990,0.0969,0.4081,0.0917,0.0585,6.0000,570.0000,0.0105
madc1220_scan1,run_01,0.5134,0.0546,31.0767,0.2399,0.0342,19.4537,0.6854,0.1269,0.0902,0.4757,0.1242,0.0823,3.0000,570.0000,0.0053
madc1227_scan1,run_01,0.2741,0.0485,27.6214,0.1634,0.0266,15.1160,0.4757,0.1107,0.0698,0.4757,0.1107,0.0698,0.0000,570.0000,0.0000
madc1228_scan1,run_01,0.4342,0.0864,49.1634,0.6321,0.0314,17.8727,1.4076,0.1682,0.1198,0.4919,0.1567,0.0897,14.0000,570.0000,0.0246
madc1241_scan1,run_01,0.2076,0.0249,14.1720,0.0811,0.0170,9.6996,0.3889,0.0592,0.0353,0.3889,0.0592,0.0353,0.0000,570.0000,0.0000
madc1243_scan1,run_01,0.1821,0.0229,13.0195,0.0970,0.0150,8.5220,0.2930,0.0519,0.0339,0.2930,0.0519,0.0339,0.0000,570.0000,0.0000
madc1250_scan1,run_01,0.1658,0.0322,18.3230,0.2154,0.0293,16.6526,0.5693,0.0855,0.0584,0.3474,0.0847,0.0549,1.0000,570.0000,0.0018
madc1254_scan1,run_01,0.2950,0.0527,30.0068,0.1835,0.0222,12.6350,0.5701,0.1035,0.0730,0.4605,0.1020,0.0683,2.0000,570.0000,0.0035
madc1259_scan1,run_01,0.0665,0.0153,8.6986,0.1200,0.0170,9.6983,0.2237,0.0454,0.0285,0.2237,0.0454,0.0285,0.0000,570.0000,0.0000
madc1260_scan1,run_01,0.2939,0.0370,21.0657,0.1588,0.0199,11.3201,0.5221,0.0811,0.0608,0.4654,0.0796,0.0550,2.0000,570.0000,0.0035
madc1263_scan1,run_01,0.3611,0.0315,17.9043,0.3982,0.0261,14.8555,0.7511,0.0786,0.0855,0.4832,0.0715,0.0570,7.0000,570.0000,0.0123
madc1268_scan1,run_01,0.1391,0.0231,13.1615,0.1174,0.0197,11.2110,0.3859,0.0621,0.0358,0.3859,0.0621,0.0358,0.0000,570.0000,0.0000
madc1271_scan1,run_01,0.0789,0.0192,10.9531,0.1324,0.0187,10.6496,0.2310,0.0526,0.0311,0.2310,0.0526,0.0311,0.0000,570.0000,0.0000
madc1276_scan1,run_01,0.1460,0.0183,10.3940,0.2652,0.0151,8.5671,0.5923,0.0484,0.0404,0.2901,0.0466,0.0261,2.0000,570.0000,0.0035
madc1294_scan1,run_01,0.4915,0.0644,36.6697,0.2290,0.0258,14.6704,0.9161,0.1228,0.1168,0.4956,0.1112,0.0854,12.0000,570.0000,0.0211
madc1299_scan1,run_01,0.2136,0.0467,26.5950,0.0742,0.0124,7.0751,0.4104,0.0817,0.0525,0.4104,0.0817,0.0525,0.0000,570.0000,0.0000
madc1307_scan1,run_01,0.1479,0.0254,14.4538,0.0594,0.0128,7.2849,0.2898,0.0554,0.0360,0.2898,0.0554,0.0360,0.0000,570.0000,0.0000
madc1314_scan1,run_01,0.8276,0.0627,35.6736,0.6148,0.0315,17.9085,1.7069,0.1306,0.1762,0.4423,0.1030,0.0649,18.0000,570.0000,0.0316
madc1315_scan1,run_01,0.3642,0.0365,20.7493,0.1849,0.0249,14.1903,0.5609,0.0832,0.0657,0.3986,0.0815,0.0594,2.0000,570.0000,0.0035
madc1340_scan1,run_01,0.3030,0.0272,15.5026,0.0415,0.0090,5.1318,0.4872,0.0509,0.0507,0.4872,0.0509,0.0507,0.0000,570.0000,0.0000
madc1348_scan1,run_01,0.1077,0.0228,12.9732,0.1320,0.0172,9.7726,0.3112,0.0579,0.0418,0.3112,0.0579,0.0418,0.0000,570.0000,0.0000
madc1353_scan1,run_01,0.1016,0.0163,9.2902,0.1071,0.0080,4.5370,0.2246,0.0328,0.0213,0.2246,0.0328,0.0213,0.0000,570.0000,0.0000
madc1356_scan1,run_01,0.1205,0.0286,16.2617,0.0435,0.0113,6.4055,0.1725,0.0572,0.0290,0.1725,0.0572,0.0290,0.0000,570.0000,0.0000
madc1357_scan1,run_01,0.2970,0.0482,27.4143,0.1714,0.0235,13.3569,0.4833,0.1017,0.0687,0.4833,0.1017,0.0687,0.0000,570.0000,0.0000
madc1358_scan1,run_01,0.0937,0.0207,11.7928,0.0560,0.0139,7.8995,0.2243,0.0504,0.0249,0.2243,0.0504,0.0249,0.0000,570.0000,0.0000
madc1360_scan1,run_01,0.5904,0.2068,117.6508,0.1605,0.0342,19.4742,0.9746,0.3570,0.1985,0.4981,0.2707,0.1221,131.0000,570.0000,0.2298
madc1362_scan1,run_01,0.2764,0.0281,16.0033,0.5304,0.0169,9.6320,0.9010,0.0627,0.0657,0.4068,0.0583,0.0367,4.0000,570.0000,0.0070
madc1364_scan1,run_01,0.2539,0.0585,33.2879,0.1290,0.0233,13.2516,0.4288,0.1117,0.0551,0.4288,0.1117,0.0551,0.0000,570.0000,0.0000
madc1368_scan1,run_01,0.2058,0.0276,15.7249,0.1634,0.0126,7.1793,0.5174,0.0590,0.0538,0.4655,0.0582,0.0503,1.0000,570.0000,0.0018
madc1372_scan1,run_01,0.8194,0.0382,21.7177,0.9084,0.0384,21.8287,1.8874,0.1033,0.1579,0.4954,0.0873,0.0708,9.0000,570.0000,0.0158
madc1374_scan1,run_01,0.8592,0.0344,19.5588,0.2009,0.0168,9.5504,1.2710,0.0714,0.1075,0.4443,0.0620,0.0509,6.0000,570.0000,0.0105
madc1377_scan1,run_01,0.6072,0.0447,25.4129,1.1724,0.0434,24.6852,2.6647,0.1222,0.2362,0.4791,0.0827,0.0639,21.0000,570.0000,0.0368
madc1378_scan1,run_01,0.0748,0.0217,12.3443,0.0633,0.0115,6.5683,0.1638,0.0486,0.0277,0.1638,0.0486,0.0277,0.0000,570.0000,0.0000
madc1379_scan1,run_01,0.3928,0.0579,32.9404,0.1210,0.0251,14.2864,0.6465,0.1153,0.1062,0.4982,0.1068,0.0882,11.0000,570.0000,0.0193
madc1380_scan1,run_01,0.8298,0.1958,111.4022,0.5641,0.0611,34.7907,1.7674,0.3541,0.2333,0.4994,0.2577,0.1199,119.0000,570.0000,0.2088
madc1382_scan1,run_01,0.2366,0.0398,22.6335,0.1629,0.0280,15.9072,0.5505,0.0976,0.0768,0.4536,0.0960,0.0725,2.0000,570.0000,0.0035
madc1384_scan1,run_01,0.8787,0.0479,27.2829,0.8329,0.0289,16.4718,2.1359,0.1073,0.1735,0.4980,0.0896,0.0792,9.0000,570.0000,0.0158
madc1387_scan1,run_01,1.8552,0.2175,123.7295,0.3151,0.0539,30.6539,2.3997,0.3772,0.2575,0.4993,0.2801,0.1304,138.0000,570.0000,0.2421
madc1388_scan1,run_01,0.1398,0.0308,17.5103,0.0963,0.0148,8.4463,0.2568,0.0646,0.0324,0.2568,0.0646,0.0324,0.0000,570.0000,0.0000
madc1389_scan1,run_01,0.1328,0.0286,16.2990,0.0740,0.0178,10.1327,0.2500,0.0653,0.0379,0.2500,0.0653,0.0379,0.0000,570.0000,0.0000
madc1393_scan1,run_01,0.1325,0.0247,14.0450,0.0417,0.0132,7.5084,0.2653,0.0546,0.0270,0.2653,0.0546,0.0270,0.0000,570.0000,0.0000
madc1394_scan1,run_01,0.9847,0.0719,40.8833,0.2251,0.0444,25.2847,1.3176,0.1569,0.1214,0.4923,0.1478,0.0876,8.0000,570.0000,0.0140
madc1395_scan1,run_01,0.1296,0.0252,14.3667,0.0573,0.0111,6.3247,0.2264,0.0497,0.0351,0.2264,0.0497,0.0351,0.0000,570.0000,0.0000
madc1396_scan1,run_01,0.9457,0.0477,27.1337,0.8334,0.0298,16.9619,1.8372,0.1097,0.1587,0.4949,0.0918,0.0646,10.0000,570.0000,0.0175
madc1398_scan1,run_01,0.2945,0.0413,23.5142,0.1245,0.0133,7.5698,0.6571,0.0799,0.0669,0.4297,0.0772,0.0561,3.0000,570.0000,0.0053
madc1399_scan1,run_01,0.5892,0.0816,46.4505,0.5913,0.0392,22.3057,1.8391,0.1653,0.1527,0.4980,0.1432,0.0860,20.0000,570.0000,0.0351
madc1401_scan1,run_01,1.2814,0.0478,27.1883,3.2222,0.0585,33.2609,4.8841,0.1412,0.3580,0.4760,0.0920,0.0831,21.0000,570.0000,0.0368
madc1402_scan1,run_01,0.1776,0.0322,18.3166,0.0975,0.0147,8.3479,0.4292,0.0677,0.0344,0.4292,0.0677,0.0344,0.0000,570.0000,0.0000
madc1403_scan1,run_01,0.1649,0.0390,22.1926,0.1547,0.0215,12.2595,0.3988,0.0817,0.0447,0.3988,0.0817,0.0447,0.0000,570.0000,0.0000
madc1404_scan1,run_01,1.1879,0.0829,47.1825,0.5052,0.0351,19.9713,2.3637,0.1666,0.2243,0.4896,0.1244,0.0695,28.0000,570.0000,0.0491
madc1407_scan1,run_01,0.2263,0.0397,22.6167,0.2462,0.0216,12.2965,0.5978,0.0819,0.0553,0.3815,0.0810,0.0509,1.0000,570.0000,0.0018
madc1408_scan1,run_01,0.1570,0.0364,20.6939,0.1895,0.0213,12.1432,0.4898,0.0848,0.0632,0.4898,0.0848,0.0632,0.0000,570.0000,0.0000
madc1409_scan1,run_01,0.6704,0.1909,108.6303,0.3089,0.0453,25.7860,0.9693,0.3235,0.1927,0.4980,0.2513,0.1241,106.0000,570.0000,0.1860
madc1410_scan1,run_01,0.2684,0.0336,19.1404,0.0936,0.0151,8.5733,0.4014,0.0693,0.0478,0.4014,0.0693,0.0478,0.0000,570.0000,0.0000
madc1411_scan1,run_01,0.2579,0.0392,22.2873,0.0991,0.0190,10.8276,0.3425,0.0813,0.0446,0.3425,0.0813,0.0446,0.0000,570.0000,0.0000
madc1412_scan1,run_01,0.1983,0.0580,32.9837,0.0889,0.0260,14.7823,0.4018,0.1149,0.0611,0.4018,0.1149,0.0611,0.0000,570.0000,0.0000
madc1413_scan1,run_01,0.2816,0.0410,23.3382,0.1293,0.0181,10.3181,0.5621,0.0876,0.0669,0.4171,0.0845,0.0559,4.0000,570.0000,0.0070
madc1415_scan1,run_01,1.5132,0.0986,56.0891,1.3116,0.0628,35.7189,3.5909,0.2396,0.2614,0.4928,0.1942,0.1072,38.0000,570.0000,0.0667
madc1418_scan1,run_01,0.2733,0.0312,17.7679,0.1609,0.0201,11.4307,0.5898,0.0730,0.0602,0.4299,0.0721,0.0562,1.0000,570.0000,0.0018
madc1419_scan1,run_01,1.1360,0.1062,60.4547,0.3489,0.0291,16.5653,1.9995,0.1884,0.1874,0.4910,0.1593,0.1005,24.0000,570.0000,0.0421
madc1420_scan1,run_01,0.2922,0.0518,29.4997,0.1782,0.0244,13.8714,0.6241,0.1085,0.0694,0.4910,0.1068,0.0630,2.0000,570.0000,0.0035
madc1421_scan1,run_01,0.1522,0.0259,14.7391,0.1143,0.0133,7.5684,0.4008,0.0560,0.0384,0.4008,0.0560,0.0384,0.0000,570.0000,0.0000
madc1422_scan1,run_01,0.1259,0.0201,11.4146,0.1106,0.0138,7.8402,0.2908,0.0473,0.0336,0.2908,0.0473,0.0336,0.0000,570.0000,0.0000
madc1423_scan1,run_01,0.1197,0.0307,17.4619,0.1100,0.0115,6.5476,0.2419,0.0586,0.0362,0.2419,0.0586,0.0362,0.0000,570.0000,0.0000
madc1424_scan1,run_01,0.1216,0.0168,9.5683,0.1034,0.0124,7.0832,0.3195,0.0422,0.0257,0.3195,0.0422,0.0257,0.0000,570.0000,0.0000
madc1425_scan1,run_01,0.0829,0.0205,11.6373,0.0502,0.0117,6.6469,0.1878,0.0445,0.0268,0.1878,0.0445,0.0268,0.0000,570.0000,0.0000
madc1426_scan1,run_01,0.8862,0.0358,20.3808,0.1398,0.0136,7.7220,1.5270,0.0721,0.0891,0.3771,0.0679,0.0524,2.0000,570.0000,0.0035
madc1430_scan1,run_01,1.0822,0.1078,61.3522,0.4784,0.0560,31.8467,2.0446,0.2384,0.2056,0.4997,0.1927,0.1129,48.0000,570.0000,0.0842
madc1432_scan1,run_01,0.4862,0.0935,53.2223,0.3213,0.0442,25.1581,1.1447,0.1939,0.1515,0.4997,0.1689,0.1033,29.0000,570.0000,0.0509
madc1434_scan1,run_01,0.2462,0.0453,25.7609,0.1874,0.0308,17.5397,0.5118,0.1108,0.0590,0.4864,0.1100,0.0566,1.0000,570.0000,0.0018
madc1437_scan1,run_01,0.3575,0.0631,35.8940,0.1816,0.0181,10.3088,0.5180,0.1130,0.0829,0.4788,0.1122,0.0812,1.0000,570.0000,0.0018
madc1438_scan1,run_01,0.1476,0.0194,11.0335,0.0724,0.0128,7.2671,0.2597,0.0459,0.0265,0.2597,0.0459,0.0265,0.0000,570.0000,0.0000
madc1439_scan1,run_01,0.5376,0.0528,30.0449,0.7270,0.0496,28.2441,1.1082,0.1329,0.1327,0.4917,0.1174,0.0808,13.0000,570.0000,0.0228
madc1440_scan1,run_01,0.2194,0.0567,32.2863,0.1568,0.0218,12.3946,0.3517,0.1077,0.0653,0.3517,0.1077,0.0653,0.0000,570.0000,0.0000
madc1442_scan1,run_01,0.3875,0.0393,22.3685,0.1138,0.0173,9.8287,0.6907,0.0784,0.0608,0.3719,0.0773,0.0552,1.0000,570.0000,0.0018
madc1444_scan1,run_01,0.1580,0.0206,11.6945,0.0738,0.0144,8.2098,0.2701,0.0501,0.0270,0.2701,0.0501,0.0270,0.0000,570.0000,0.0000
madc1445_scan1,run_01,0.3924,0.0514,29.2459,0.4979,0.0306,17.3924,1.0975,0.1168,0.0968,0.4611,0.1100,0.0688,6.0000,570.0000,0.0105
madc1446_scan1,run_01,0.7727,0.0731,41.6034,0.5441,0.0368,20.9425,1.6331,0.1567,0.1531,0.4809,0.1363,0.0822,17.0000,570.0000,0.0298
madc1447_scan1,run_01,0.1104,0.0145,8.2506,0.1418,0.0146,8.2817,0.3123,0.0415,0.0335,0.3123,0.0415,0.0335,0.0000,570.0000,0.0000
madc1448_scan1,run_01,0.2436,0.0316,18.0037,0.1092,0.0184,10.4577,0.4188,0.0718,0.0492,0.4188,0.0718,0.0492,0.0000,570.0000,0.0000
madc1449_scan1,run_01,0.5923,0.1018,57.9067,0.3959,0.0421,23.9716,1.0280,0.2055,0.1476,0.4968,0.1822,0.1050,29.0000,570.0000,0.0509
madc1453_scan1,run_01,0.3111,0.0474,26.9453,0.0669,0.0144,8.1755,0.4551,0.0840,0.0699,0.4551,0.0840,0.0699,0.0000,570.0000,0.0000
madc1454_scan1,run_01,0.1814,0.0201,11.4348,0.0836,0.0152,8.6717,0.3708,0.0489,0.0337,0.3708,0.0489,0.0337,0.0000,570.0000,0.0000
madc1457_scan1,run_01,0.1218,0.0154,8.7677,0.1071,0.0140,7.9892,0.2352,0.0413,0.0312,0.2352,0.0413,0.0312,0.0000,570.0000,0.0000
madc1458_scan1,run_01,0.2246,0.0314,17.8438,0.1383,0.0194,11.0261,0.4864,0.0715,0.0582,0.4864,0.0715,0.0582,0.0000,570.0000,0.0000
madc1459_scan1,run_01,0.1956,0.0270,15.3702,0.0641,0.0148,8.4229,0.3370,0.0609,0.0373,0.3370,0.0609,0.0373,0.0000,570.0000,0.0000
madc1461_scan1,run_01,0.5480,0.0639,36.3470,0.0904,0.0217,12.3517,0.8377,0.1238,0.0857,0.4987,0.1204,0.0748,4.0000,570.0000,0.0070
madc1462_scan1,run_01,0.1214,0.0105,5.9819,0.1237,0.0105,5.9810,0.3715,0.0297,0.0209,0.3715,0.0297,0.0209,0.0000,570.0000,0.0000
madc1463_scan1,run_01,1.3046,0.0586,33.3495,0.6507,0.0264,15.0053,2.4514,0.1162,0.1530,0.4486,0.1051,0.0672,5.0000,570.0000,0.0088
madc1473_scan1,run_01,0.1632,0.0368,20.9471,0.1640,0.0213,12.1111,0.3736,0.0821,0.0490,0.3736,0.0821,0.0490,0.0000,570.0000,0.0000
madc1479_scan1,run_01,0.1618,0.0426,24.2146,0.0658,0.0174,9.8912,0.2871,0.0868,0.0504,0.2871,0.0868,0.0504,0.0000,570.0000,0.0000
madc1480_scan1,run_01,0.0879,0.0213,12.1333,0.0637,0.0104,5.9016,0.1989,0.0445,0.0231,0.1989,0.0445,0.0231,0.0000,570.0000,0.0000
madc1482_scan1,run_01,0.1529,0.0232,13.2163,0.1129,0.0099,5.6420,0.2604,0.0466,0.0320,0.2604,0.0466,0.0320,0.0000,570.0000,0.0000
madc1484_scan1,run_01,0.1794,0.0392,22.2916,0.0957,0.0221,12.5526,0.3342,0.0840,0.0502,0.3342,0.0840,0.0502,0.0000,570.0000,0.0000
madc1487_scan1,run_01,0.3699,0.0574,32.6621,0.5440,0.0396,22.5410,1.4868,0.1428,0.1035,0.4667,0.1376,0.0769,4.0000,570.0000,0.0070
madc1489_scan1,run_01,0.1800,0.0515,29.3009,0.1293,0.0302,17.2064,0.3686,0.1148,0.0656,0.3686,0.1148,0.0656,0.0000,570.0000,0.0000
madc1493_scan1,run_01,0.0737,0.0137,7.8115,0.0513,0.0084,4.7993,0.1360,0.0313,0.0189,0.1360,0.0313,0.0189,0.0000,570.0000,0.0000
madc1494_scan1,run_01,0.6112,0.0451,25.6485,0.6654,0.0328,18.6673,1.9231,0.1137,0.1653,0.4897,0.0941,0.0697,12.0000,570.0000,0.0211
madc1501_scan1,run_01,0.7081,0.0705,40.0934,0.3475,0.0403,22.9226,1.0109,0.1629,0.1288,0.4728,0.1460,0.0845,18.0000,570.0000,0.0316
madc1507_scan1,run_01,0.0954,0.0191,10.8560,0.0610,0.0126,7.1940,0.1775,0.0448,0.0246,0.1775,0.0448,0.0246,0.0000,570.0000,0.0000
