Subject,Run,maxSpace,meanSpace,sumSpace,maxAngle,meanAngle,sumAngle,maxFDpre,meanFDpre,stdFDpre,maxFDpost,meanFDpost,stdFDpost,SupraThresholdFD,TotalVolume,ScrubRatio
madc0732_scan1,run_01,0.2891,0.0823,41.5782,0.0569,0.0169,8.5311,0.4997,0.1390,0.0805,0.4997,0.1390,0.0805,0.0000,506.0000,0.0000
madc0768_scan1,run_01,0.1210,0.0366,18.5007,0.0683,0.0147,7.4423,0.2127,0.0711,0.0330,0.2127,0.0711,0.0330,0.0000,506.0000,0.0000
madc0773_scan1,run_01,0.7746,0.0843,42.5814,0.4308,0.0341,17.2356,1.4499,0.1547,0.1237,0.4711,0.1420,0.0708,9.0000,506.0000,0.0178
madc0775_scan1,run_01,0.3080,0.0595,30.0608,0.1580,0.0304,15.3662,0.6130,0.1271,0.1139,0.4817,0.1178,0.0960,11.0000,506.0000,0.0217
madc0833_scan1,run_01,0.2357,0.0446,22.5066,0.1016,0.0135,6.7974,0.3683,0.0752,0.0554,0.3683,0.0752,0.0554,0.0000,506.0000,0.0000
madc0960_scan1,run_01,0.3637,0.0431,21.7750,0.6306,0.0292,14.7447,1.2070,0.0969,0.0807,0.4932,0.0927,0.0548,3.0000,506.0000,0.0059
madc1066_scan1,run_01,0.2168,0.0515,26.0241,0.1218,0.0311,15.7121,0.3505,0.1182,0.0619,0.3505,0.1182,0.0619,0.0000,506.0000,0.0000
madc1174_scan1,run_01,0.8665,0.0673,33.9937,0.3066,0.0386,19.4799,1.4422,0.1478,0.1129,0.4681,0.1407,0.0819,5.0000,506.0000,0.0099
madc1179_scan1,run_01,0.2802,0.0386,19.5127,0.4082,0.0208,10.5092,0.5424,0.0828,0.0616,0.4927,0.0819,0.0582,1.0000,506.0000,0.0020
madc1220_scan1,run_01,0.4267,0.0596,30.1077,0.7409,0.0450,22.7034,1.5152,0.1482,0.1306,0.4901,0.1343,0.0878,12.0000,506.0000,0.0237
madc1227_scan1,run_01,0.4901,0.0941,47.5370,0.2485,0.0365,18.4322,0.8526,0.1783,0.1044,0.4998,0.1760,0.0979,2.0000,506.0000,0.0040
madc1228_scan1,run_01,0.3621,0.0826,41.6939,0.1624,0.0266,13.4267,0.6399,0.1539,0.0908,0.4396,0.1513,0.0843,3.0000,506.0000,0.0059
madc1241_scan1,run_01,0.1243,0.0246,12.4449,0.0548,0.0148,7.4984,0.2352,0.0553,0.0277,0.2352,0.0553,0.0277,0.0000,506.0000,0.0000
madc1243_scan1,run_01,0.2898,0.0318,16.0676,0.0884,0.0151,7.6475,0.3347,0.0611,0.0375,0.3347,0.0611,0.0375,0.0000,506.0000,0.0000
madc1250_scan1,run_01,0.0590,0.0136,6.8881,0.0896,0.0136,6.8888,0.1854,0.0377,0.0210,0.1854,0.0377,0.0210,0.0000,506.0000,0.0000
